"Taxon";"Occurrence.taxa";"Prevalence";"Prevalence.NoDisp";"Taxonomic.level"
"Chironomidae";"Occurrence.Chironomidae";1;1;"family"
"Simuliidae";"Occurrence.Simuliidae";0.2875;0.2875;"family"
"Limoniidae";"Occurrence.Limoniidae";0.99375;0.99375;"family"
"Baetisrhodani";"Occurrence.Baetisrhodani";0.86875;0.86875;"species"
"Baetisalpinus";"Occurrence.Baetisalpinus";0.525;0.6;"species"
"Empididae";"Occurrence.Empididae";0;0;"family"
"Ceratopogonidae";"Occurrence.Ceratopogonidae";0.3875;0.3875;"family"
"Elmidae";"Occurrence.Elmidae";0.71875;0.821428571428571;"family"
"Nemouramortoni";"Occurrence.Nemouramortoni";0.425;0.566666666666667;"species"
"Baetismuticus";"Occurrence.Baetismuticus";0.45;0.45;"species"
"Drususdiscolor";"Occurrence.Drususdiscolor";0.0375;0.06;"species"
"Protonemuralateralis";"Occurrence.Protonemuralateralis";0.31875;0.51;"species"
"Athericidae";"Occurrence.Athericidae";0;0;"family"
"Gammaridae";"Occurrence.Gammaridae";0.38125;0.508333333333333;"family"
"Rhyacophilatristis";"Occurrence.Rhyacophilatristis";0.125;0.125;"species"
"Planariidae";"Occurrence.Planariidae";0;0;"family"
"Leuctrabraueri";"Occurrence.Leuctrabraueri";0.3125;0.5;"species"
"Nemouraminima";"Occurrence.Nemouraminima";0.2125;0.34;"species"
"Hydraenidae";"Occurrence.Hydraenidae";0.7875;0.7875;"family"
"Ecdyonurushelveticus";"Occurrence.Ecdyonurushelveticus";0.33125;0.441666666666667;"species"
"Sericostoma";"Occurrence.Sericostoma";0.15625;0.178571428571429;"genus"
"Habroleptoidesconfusa";"Occurrence.Habroleptoidesconfusa";0.24375;0.278571428571429;"species"
"Scirtidae";"Occurrence.Scirtidae";0.2625;0.3;"family"
"Brachypterarisi";"Occurrence.Brachypterarisi";0.125;0.2;"species"
"Sphaeriidae";"Occurrence.Sphaeriidae";0;0;"family"
"Blephariceridae";"Occurrence.Blephariceridae";0.01875;0.03;"family"
"Odontocerumalbicorne";"Occurrence.Odontocerumalbicorne";0.18125;0.241666666666667;"species"
"Leuctranigra";"Occurrence.Leuctranigra";0.275;0.733333333333333;"species"
"Tipulidae";"Occurrence.Tipulidae";0.00625;0.00625;"family"
"Drususannulatus";"Occurrence.Drususannulatus";0.1;0.2;"species"
"Dixidae";"Occurrence.Dixidae";0.34375;0.458333333333333;"family"
"Drususbiguttatus";"Occurrence.Drususbiguttatus";0.3625;0.725;"species"
"Metanoeaflavipennis";"Occurrence.Metanoeaflavipennis";0.35625;0.7125;"species"
"Ecdyonurusvenosus";"Occurrence.Ecdyonurusvenosus";0.5625;0.9;"species"
"Habrophlebialauta";"Occurrence.Habrophlebialauta";0;0;"species"
"Stratiomyidae";"Occurrence.Stratiomyidae";0.00625;0.00714285714285714;"family"
"Potamophylaxcingulatus";"Occurrence.Potamophylaxcingulatus";0.425;0.68;"species"
"Protonemuraintricata";"Occurrence.Protonemuraintricata";0.25;0.666666666666667;"species"
"Centroptilumluteolum";"Occurrence.Centroptilumluteolum";0.1875;0.3;"species"
"Hydropsychesiltalai";"Occurrence.Hydropsychesiltalai";0.2625;0.35;"species"
"Epeorusassimilis";"Occurrence.Epeorusassimilis";0;0;"species"
"Baetislutheri";"Occurrence.Baetislutheri";0.44375;0.8875;"species"
"Rhithrogenapicteti";"Occurrence.Rhithrogenapicteti";0.125;0.2;"species"
"Dugesiidae";"Occurrence.Dugesiidae";0;0;"family"
"Paraleptophlebiasubmarginata";"Occurrence.Paraleptophlebiasubmarginata";0.04375;0.0875;"species"
"Dytiscidae";"Occurrence.Dytiscidae";0;0;"family"
"Lymnaeidae";"Occurrence.Lymnaeidae";0.09375;0.1875;"family"
"Habroleptoidesauberti";"Occurrence.Habroleptoidesauberti";0.11875;0.316666666666667;"species"
"Isoperlagrammatica";"Occurrence.Isoperlagrammatica";0.31875;0.6375;"species"
"Capnioneuranemuroides";"Occurrence.Capnioneuranemuroides";0.125;0.5;"species"
"Melampophylaxmucoreus";"Occurrence.Melampophylaxmucoreus";0.10625;0.283333333333333;"species"
"Ecclisopteryxmadida";"Occurrence.Ecclisopteryxmadida";0.18125;0.725;"species"
"Nemouraflexuosa";"Occurrence.Nemouraflexuosa";0.11875;0.475;"species"
"Chaetopteryxvillosa";"Occurrence.Chaetopteryxvillosa";0.0875;0.233333333333333;"species"
"Ephemeradanica";"Occurrence.Ephemeradanica";0;0;"species"
"Erpobdellidae";"Occurrence.Erpobdellidae";0.1625;0.65;"family"
"Allogamusauricollis";"Occurrence.Allogamusauricollis";0.15;0.6;"species"
"Serratellaignita";"Occurrence.Serratellaignita";0.075;0.6;"species"
"Hydroptila";"Occurrence.Hydroptila";0;0;"genus"
"Glossiphoniidae";"Occurrence.Glossiphoniidae";0;0;"family"
"Ecdyonurustorrentis";"Occurrence.Ecdyonurustorrentis";0.19375;0.775;"species"
"Rhithrogenasemicolorata";"Occurrence.Rhithrogenasemicolorata";0.0375;0.3;"species"
"Gyrinidae";"Occurrence.Gyrinidae";0;0;"family"
"Caenismacrura";"Occurrence.Caenismacrura";0.0125;0.1;"species"
"Torleyamajor";"Occurrence.Torleyamajor";0.04375;0.35;"species"
"Psychomyiapusilla";"Occurrence.Psychomyiapusilla";0.06875;0.55;"species"
"Hydropsycheincognita";"Occurrence.Hydropsycheincognita";0.0625;0.5;"species"
"Protonemurameyeri";"Occurrence.Protonemurameyeri";0.06875;0.55;"species"
"Baetisvardarensis";"Occurrence.Baetisvardarensis";0.1125;0.9;"species"
"Caenisluctuosa";"Occurrence.Caenisluctuosa";0.0375;0.3;"species"
"Hydropsycheangustipennis";"Occurrence.Hydropsycheangustipennis";0.1;0.8;"species"
"Gomphidae";"Occurrence.Gomphidae";0;0;"family"
"Besdolusimhoffi";"Occurrence.Besdolusimhoffi";0;0;"species"
"Cheumatopsychelepida";"Occurrence.Cheumatopsychelepida";0.0625;0.5;"species"
"Micrasemasetiferum";"Occurrence.Micrasemasetiferum";0.0375;0.3;"species"
"Nemouraavicularis";"Occurrence.Nemouraavicularis";0.05625;0.45;"species"
"Ithytrichia";"Occurrence.Ithytrichia";0;0;"genus"
"Leuctramajor";"Occurrence.Leuctramajor";0.2125;0.566666666666667;"species"
"Philopotamusludificatus";"Occurrence.Philopotamusludificatus";0;0;"species"
"Metanoearhaetica";"Occurrence.Metanoearhaetica";0.0875;0.7;"species"
"Rhithrogenaputhzi";"Occurrence.Rhithrogenaputhzi";0;0;"species"
"Epeorusalpicola";"Occurrence.Epeorusalpicola";0;0;"species"
"Protonemuranimborum";"Occurrence.Protonemuranimborum";0.18125;0.3625;"species"
"Chloroperlasusemicheli";"Occurrence.Chloroperlasusemicheli";0.3125;0.833333333333333;"species"
"Leuctrahippopus";"Occurrence.Leuctrahippopus";0.04375;0.35;"species"
"Hydropsychetenuis";"Occurrence.Hydropsychetenuis";0.06875;0.275;"species"
"Amphinemurasulcicollis";"Occurrence.Amphinemurasulcicollis";0.05;0.4;"species"
"Cryptothrixnebulicola";"Occurrence.Cryptothrixnebulicola";0;0;"species"
"Isoperlarivulorum";"Occurrence.Isoperlarivulorum";0.1125;0.45;"species"
"Rhyacophilapraemorsa";"Occurrence.Rhyacophilapraemorsa";0;0;"species"
"Rhyacophilapubescens";"Occurrence.Rhyacophilapubescens";0;0;"species"
"Cordulegastridae";"Occurrence.Cordulegastridae";0.15;0.6;"family"
"Electrogenaujhelyii";"Occurrence.Electrogenaujhelyii";0;0;"species"
"Siphonoperlatorrentium";"Occurrence.Siphonoperlatorrentium";0;0;"species"
"Sialidae";"Occurrence.Sialidae";0;0;"family"
"Nemouramarginata";"Occurrence.Nemouramarginata";0.0125;0.1;"species"
"Rhithrogenaloyolaea";"Occurrence.Rhithrogenaloyolaea";0;0;"species"
"Protonemurabrevistyla";"Occurrence.Protonemurabrevistyla";0.2;0.8;"species"
"Rhyacophilaintermedia";"Occurrence.Rhyacophilaintermedia";0;0;"species"
"Rhithrogenaalpestris";"Occurrence.Rhithrogenaalpestris";0;0;"species"
"Ecdyonuruspicteti";"Occurrence.Ecdyonuruspicteti";0.11875;0.95;"species"
"Drususmelanchaetes";"Occurrence.Drususmelanchaetes";0.2;0.8;"species"
"Rhithrogenadegrangei";"Occurrence.Rhithrogenadegrangei";0;0;"species"
"Leuctraschmidi";"Occurrence.Leuctraschmidi";0.0875;0.7;"species"
"Dictyogenusalpinus";"Occurrence.Dictyogenusalpinus";0.125;1;"species"
"Drususmuelleri";"Occurrence.Drususmuelleri";0;0;"species"
"Rhyacophilaglareosa";"Occurrence.Rhyacophilaglareosa";0;0;"species"
"Drususnigrescens";"Occurrence.Drususnigrescens";0.1125;0.9;"species"
"Hydropsycheinstabilis";"Occurrence.Hydropsycheinstabilis";0.03125;0.25;"species"
"Melampophylaxmelampus";"Occurrence.Melampophylaxmelampus";0.05625;0.45;"species"
"Tinodesunicolor";"Occurrence.Tinodesunicolor";0.00625;0.05;"species"
"Potamopyrgusantipodarum";"Occurrence.Potamopyrgusantipodarum";0.05;0.4;"species"
"Rhyacophilahirticornis";"Occurrence.Rhyacophilahirticornis";0;0;"species"
"Thaumaleidae";"Occurrence.Thaumaleidae";0;0;"family"
"Rhithrogenagrischuna";"Occurrence.Rhithrogenagrischuna";0;0;"species"
"Rhyacophilarectispina";"Occurrence.Rhyacophilarectispina";0;0;"species"
"Drususalpinus";"Occurrence.Drususalpinus";0.1125;0.9;"species"
"Isoperlacarbonaria";"Occurrence.Isoperlacarbonaria";0;0;"species"
"Catagapetusnigrans";"Occurrence.Catagapetusnigrans";0;0;"species"
"Leuctraarmata";"Occurrence.Leuctraarmata";0.0875;0.7;"species"
